Returned byte 0x48
Returned byte 0x34
Returned byte 0x33
-531 -304 -478
-556 -288 -460
-581 -270 -435
-605 -255 -408
-624 -242 -379
-643 -231 -351
-657 -215 -329
-670 -204 -311
-680 -185 -298
-689 -168 -291
-697 -149 -288
-710 -126 -286
-712 -108 -291
-722 -83 -298
-725 -64 -296
-731 -45 -289
-735 -38 -284
-734 -29 -291
-734 -14 -293
-734 -6 -294
-734 9 -299
-738 24 -286
-744 40 -266
-744 53 -228
-749 58 -174
-748 68 -128
-744 78 -77
-739 93 -30
-735 176 -50
-741 174 -72
-736 199 -100
-733 239 -121
-720 283 -152
-708 312 -176
-695 342 -194
-676 371 -212
-659 395 -233
-642 424 -257
-617 446 -285
-591 471 -310
-563 491 -338
-536 507 -356
-512 528 -369
-491 539 -375
-475 555 -372
-464 567 -360
-451 578 -350
-435 590 -343
-403 611 -343
-365 629 -343
-348 639 -329
-318 654 -306
-294 665 -288
-294 669 -254
-328 667 -199
-336 669 -126
-363 654 -59
-361 645 -5
-380 632 40
-380 612 86
-381 590 154
-355 586 187
-345 583 197
-330 583 209
-311 584 222
-304 583 232
-298 574 249
-299 560 271
-312 537 294
-334 503 326
-358 447 371
-369 406 403
-372 377 423
-382 357 430
-385 330 448
-394 286 461
-405 231 474
-414 186 482
-418 125 492
-415 71 493
-374 -10 505
-343 -79 502
-297 -147 493
-257 -199 479
-226 -241 463
-202 -270 446
-205 -286 430
-222 -296 419
-245 -305 407
-280 -309 395
-313 -309 379
-344 -308 369
-376 -304 351
-392 -308 340
-411 -313 321
-423 -325 304
-430 -335 278
-443 -343 259
-452 -354 236
-472 -363 208
-482 -371 175
-491 -381 145
-506 -382 115
-511 -403 58
-516 -414 -2
-526 -415 -42
-532 -420 -82
-540 -411 -133
-546 -407 -180
-549 -400 -222
-561 -382 -267
-566 -372 -300
-572 -352 -336
-581 -331 -371
-581 -314 -401
-582 -294 -438
-574 -276 -470
-567 -263 -500
-556 -251 -532
-538 -236 -555
-525 -224 -584
-510 -212 -612
-493 -201 -629
-475 -186 -661
-457 -176 -682
-433 -160 -702
-412 -147 -723
-390 -138 -739
-357 -132 -757
-326 -127 -771
-301 -125 -780
-269 -132 -784
-241 -147 -786
-210 -165 -785
-184 -190 -775
-165 -217 -762
-154 -250 -737
-171 -291 -705
-214 -327 -659
-266 -354 -608
-293 -373 -569
-306 -386 -546
-315 -394 -525
-326 -400 -504
-338 -412 -475
-347 -420 -446
-357 -430 -417
-364 -435 -386
-373 -438 -359
-383 -444 -332
-399 -443 -299
-407 -442 -268
-425 -439 -232
-443 -431 -200
-458 -422 -162
-474 -411 -129
-491 -393 -101
-513 -375 -73
-534 -351 -46
-554 -325 -20
-576 -297 6
-592 -270 26
-608 -237 54
-623 -203 76
-633 -167 95
-642 -140 121
-646 -115 135
-647 -92 153
-646 -68 172
-644 -54 184
-640 -39 194
-639 -32 203
-636 -26 208
-633 -17 218
-632 -18 221
-629 -17 225
-626 -18 227
-625 -21 226
-626 -26 228
-623 -33 225
-622 -43 220
-622 -55 219
-618 -69 213
-616 -86 211
-611 -107 206
-604 -136 190
-599 -168 173
-597 -194 152
-592 -215 128
-588 -236 110
-576 -257 91
-571 -278 73
-558 -298 46
-548 -317 28
-539 -333 15
-522 -353 -11
-511 -371 -30
-494 -384 -60
-483 -397 -90
-468 -413 -112
-453 -421 -141
-436 -435 -173
-420 -446 -204
-403 -449 -224
-388 -459 -234
-372 -465 -235
-353 -475 -235
-343 -484 -219
-324 -491 -196
-310 -499 -178
-292 -507 -155
-269 -512 -134
-253 -517 -102
-233 -520 -75
-215 -521 -40
-197 -518 -4
-181 -510 31
-164 -503 71
-146 -496 101
-129 -482 132
-114 -465 179
-98 -446 218
-92 -410 272
-98 -373 324
-108 -323 377
-128 -265 426
-135 -241 449
-113 -252 436
-81 -273 421
-56 -277 414
-53 -273 420
-64 -265 431
-72 -257 435
-78 -251 444
-82 -250 443
-96 -247 453
-113 -238 461
-129 -215 466
-155 -192 482
-169 -191 483
-171 -197 475
-176 -212 471
-168 -224 467
-158 -230 464
-142 -235 465
-123 -231 464
-107 -223 471
-90 -208 479
-72 -192 488
-46 -176 492
-16 -139 505
-11 -108 518
-2 -85 520
30 -76 515
65 -76 509
95 -65 501
107 -41 504
108 -11 507
127 8 502
130 31 507
114 75 510
99 110 515
82 139 517
66 177 511
51 212 513
34 247 502
20 275 497
13 290 495
3 302 489
-3 307 488
-10 313 481
-14 324 478
-27 335 478
-44 359 464
-68 380 451
