Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-124748.519	1436446068519	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.570	1436446068570	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.619	1436446068619	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.670	1436446068670	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.719	1436446068719	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.770	1436446068770	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.819	1436446068819	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.869	1436446068869	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.919	1436446068919	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124748.969	1436446068969	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.019	1436446069019	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.069	1436446069069	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.119	1436446069119	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.173	1436446069173	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.221	1436446069221	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.269	1436446069269	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.319	1436446069319	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.369	1436446069369	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.422	1436446069422	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.469	1436446069469	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.519	1436446069519	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.569	1436446069569	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.619	1436446069619	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.669	1436446069669	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.719	1436446069719	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.772	1436446069772	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.821	1436446069821	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.870	1436446069870	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.919	1436446069919	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
090715-124749.969	1436446069969	1	3	0.000000	265.600006	-265.600006	-531.200012	0.000000	0.000000	2.000000	2.000000	0.500000	0.125000
