Header Lines
Date	mSecs Since Epoch	Calculate Derivative	Channel	Signal	Target	Error	Control	Derivative	Integral	Integral Limit	P coefficient	I coefficient	D coefficient
090715-140621.120	1436450781120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.170	1436450781170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.224	1436450781224	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.274	1436450781274	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.320	1436450781320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.371	1436450781371	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.421	1436450781421	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.471	1436450781471	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.520	1436450781520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.571	1436450781571	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.621	1436450781621	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.670	1436450781670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.720	1436450781720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.770	1436450781770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.820	1436450781820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.870	1436450781870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.920	1436450781920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140621.970	1436450781970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.020	1436450782020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.070	1436450782070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.120	1436450782120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.170	1436450782170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.220	1436450782220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.270	1436450782270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.320	1436450782320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.370	1436450782370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.420	1436450782420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.470	1436450782470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.520	1436450782520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.570	1436450782570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.620	1436450782620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.671	1436450782671	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.720	1436450782720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.770	1436450782770	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.820	1436450782820	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.870	1436450782870	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.920	1436450782920	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140622.970	1436450782970	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.020	1436450783020	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.070	1436450783070	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.120	1436450783120	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.170	1436450783170	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.220	1436450783220	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.270	1436450783270	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.320	1436450783320	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.370	1436450783370	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.420	1436450783420	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.470	1436450783470	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.520	1436450783520	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.570	1436450783570	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.620	1436450783620	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.670	1436450783670	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.720	1436450783720	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.771	1436450783771	0	1	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	1.000000	-1.500000	-0.200000	-0.050000
090715-140623.820	143645078382
